rfam_acc	pdb_id	chain	pdb_start	pdb_end	bit_score	evalue_score	cm_start	cm_end	hex_colour	is_significant
RF00005	1asy	R	1	72	53.10	7.6e-12	1	71	8e2511	1
RF00005	1asy	S	1	72	53.10	7.6e-12	1	71	8e2511	1
RF00005	1asz	R	1	72	53.10	7.6e-12	1	71	8e2511	1
RF00005	1asz	S	1	72	53.10	7.6e-12	1	71	8e2511	1
RF00005	1b23	R	1	71	57.20	5.7e-13	1	71	8e2511	1
RF02541	1c04	E	1	58	58.20	4.6e-18	1093	1150	8e2511	1
RF00005	1c0a	B	1	74	66.00	2e-15	1	71	8e2511	1
RF02541	1c2w	B	1	2904	2887.00	0	1	2925	8e2511	1
RF02540	1c2w	B	1	2903	1841.60	0	1	2990	8e2511	0
RF02543	1c2w	B	160	2893	1260.40	0	1	3401	8e2511	0
RF00001	1c2x	C	3	118	77.20	4.8e-17	1	119	8e2511	1
RF00005	1efw	C	1	74	65.60	2.5e-15	1	71	8e2511	1
RF00005	1efw	D	1	74	65.60	2.5e-15	1	71	8e2511	1
RF02541	1eg0	L	1	56	57.10	1.1e-17	1094	1149	8e2511	1
RF02540	1eg0	L	1	57	54.70	7.1e-16	1179	1235	8e2511	0
RF00005	1eg0	O	1	73	62.80	1.6e-14	1	71	8e2511	1
RF00005	1ehz	A	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1eiy	C	1	73	71.50	5.5e-17	1	71	8e2511	1
RF00177	1emi	B	1	108	65.10	4.5e-19	567	754	8e2511	1
RF01380	1esy	A	1	19	36.10	1e-07	1	19	8e2511	1
RF00005	1euq	B	1	69	48.20	1.8e-10	2	71	8e2511	1
RF00005	1euy	B	1	71	61.10	4.4e-14	1	71	8e2511	1
RF00005	1evv	A	1	73	65.60	2.6e-15	1	71	8e2511	1
RF00005	1exd	B	1	70	57.90	3.4e-13	2	71	8e2511	1
RF01380	1f6u	B	1	19	36.10	1e-07	1	19	8e2511	1
RF00005	1f7u	B	1	73	61.00	5e-14	1	71	8e2511	1
RF00005	1f7v	B	1	73	61.00	5e-14	1	71	8e2511	1
RF00005	1fcw	A	1	73	65.60	2.6e-15	1	71	8e2511	1
